2017-06-26,미성엠프로 주식회사,"-11,671,000","-10,610,000","-1,061,000",(시흥-6/03~6/04),취소전표,,합계,공급,세액,,,,,,,,
2017-06-30,미성엠프로 주식회사,"12,320,000","11,200,000","1,120,000",일용비(삼성서울병원),07월 11일,,"23,985,500 ","21,805,000 ","2,180,500 ",,,,,,,,
2017-07-01,(주)씨엔에스자산관리,"3,168,000","2,880,000","288,000",인천-5/27~6/04,취소전표(7/1),,,,,,,,,,,,
2017-07-12,(주)씨엔에스자산관리,"4,752,000","4,320,000","432,000",(6/10~7/02),07월 26일,,,,,,,,,,,,
2017-07-17,(주)씨엔에스자산관리,"2,079,000","1,890,000","189,000",(7/08~7/16),08월 01일,,,,,,,,,,,,
2017-07-24,(주)씨엔에스자산관리,"1,980,000","1,800,000","180,000",(7/22~7/23),08월 01일,,,,,,,,,,,,
2017-07-31,미성엠프로 주식회사,"14,520,000","13,200,000","1,320,000",일용비(서울삼성병원),08월 25일,,,,,,,,,,,,
2017-07-31,미성엠프로 주식회사,"-14,531,000","-13,210,000","-1,321,000",일용비(서울삼성병원),취소전표,,,,,,,,,,,,
2017-07-31,미성엠프로 주식회사,"4,785,000","4,350,000","435,000",일용비(예술의전당),08월 25일,,,,,,,,,,,,
2017-07-31,미성엠프로 주식회사,"3,135,000","2,850,000","285,000",일용비(분당서울대병원),08월 25일,,,,,,,,,,,,
2017-07-31,미성엠프로 주식회사,"4,312,000","3,920,000","392,000",일용비(강북삼성병원),08월 25일,,,,,,,,,,,,
2017-07-31,미성엠프로 주식회사,"14,531,000","13,210,000","1,321,000",일용비(서울삼성병원),취소전표,,7월,,,,,,,,,,
2017-07-31,미성엠프로 주식회사,"726,000","660,000","66,000",일용비(한진빌딩),08월 25일,,합계,공급,세액,,,,,,,,
2017-07-31,(주)씨엔에스자산관리,"1,980,000","1,800,000","180,000",(7/29~7/30),08월 09일,,"41,437,000 ","37,670,000 ","3,767,000 ",,,,,,,,
2017-08-07,씨제이이앤엠 주식회사,"8,470,000","7,700,000","770,000",워너원 쇼케이스(고척돔),09월 11일,,,,,,,,,,,,
2017-08-07,(주)씨엔에스자산관리,"1,980,000","1,800,000","180,000",8/06~8/06,08월 18일,,,,,,,,,,,,
2017-08-08,(주)한성앰에스,"440,000","400,000","40,000",일용비(센터마크호텔),08월 09일,,,,,,,,,,,,
2017-08-08,(주)한성앰에스,"1,760,000","1,600,000","160,000",일용비(티마크호텔),08월 09일,,,,,,,,,,,,
2017-08-08,(주)한성앰에스,"880,000","800,000","80,000",일용비(코트야드호텔),08월 09일,,,,,,,,,,,,
2017-08-08,(주)한성앰에스,"1,584,000","1,440,000","144,000",일용비,08월 10일,,,,,,,,,,,,
2017-08-09,(주)한성앰에스,"792,000","720,000","72,000",일용비(jw메리어트호텔),08월 10일,,,,,,,,,,,,
2017-08-16,(주)한성앰에스,"704,000","640,000","64,000",일용비(JW메리어트호텔),08월 18일,,,,,,,,,,,,
2017-08-16,(주)한성앰에스,"968,000","880,000","88,000",일용비(티마크호텔),08월 17일,,,,,,,,,,,,
2017-08-16,(주)한성앰에스,"1,320,000","1,200,000","120,000",일용비(코트야드호텔),08월 17일,,,,,,,,,,,,
2017-08-16,(주)한성앰에스,"1,232,000","1,120,000","112,000",일용비(머큐어호텔),08월 18일,,,,,,,,,,,,
2017-08-16,(주)씨엔에스자산관리,"1,320,000","1,200,000","120,000",8/12~8/13,08월 23일,,,,,,,,,,,,
2017-08-17,(주)씨엔에스자산관리,"3,168,000","2,880,000","288,000",5/27~6/04,취소전표,,,,,,,,,,,,
2017-08-17,(주)씨엔에스자산관리,"-3,168,000","-2,880,000","-288,000",인천-5/27~6/04,취소전표(7/1),,,,,,,,,,,,
2017-08-18,(주)씨엔에스자산관리,"3,168,000","2,880,000","288,000",인천-5/27~6/04,08월 23일,,,,,,,,,,,,
2017-08-18,(주)씨엔에스자산관리,"-3,168,000","-2,880,000","-288,000",인천-5/27~6/04,취소전표,,,,,,,,,,,,
2017-08-21,(주)한성앰에스,"616,000","560,000","56,000",일용비(JW메리어트호텔),08월 22일,,,,,,,,,,,,
2017-08-21,(주)한성앰에스,"880,000","800,000","80,000",일용비(코트야드호텔),08월 22일,,,,,,,,,,,,
2017-08-21,(주)한성앰에스,"616,000","560,000","56,000",일용비(티마크호텔),08월 22일,,,,,,,,,,,,
2017-08-21,(주)한성앰에스,"1,408,000","1,280,000","128,000",일용비(머큐어호텔),08월 28일,,,,,,,,,,,,
2017-08-23,(주)씨엔에스자산관리,"1,320,000","1,200,000","120,000",8/19~8/20,09월 01일,,,,,,,,,,,,
2017-08-24,주식회사 프레임컴퍼니,"2,024,000","1,840,000","184,000",일용비,08월 25일,,,,,,,,,,,,
2017-08-28,(주)한성앰에스,"528,000","480,000","48,000",일용비(코트야드호텔),08월 29일,,,,,,,,,,,,
2017-08-28,(주)한성앰에스,"880,000","800,000","80,000",일용비(티마크호텔),08월 29일,,,,,,,,,,,,
2017-08-28,(주)씨엔에스자산관리,"1,320,000","1,200,000","120,000",8/26~8/27,09월 13일,,,,,,,,,,,,
2017-08-28,(주)한성앰에스,"1,408,000","1,280,000","128,000",일용비(머큐어호텔),08월 30일,,,,,,,,,,,,
2017-08-31,미성엠프로 주식회사,"2,871,000","2,610,000","261,000",일용비(예술의전당),09월 15일,,,,,,,,,,,,
2017-08-31,미성엠프로 주식회사,"2,893,000","2,630,000","263,000",일용비(예술의전당),취소전표,,,,,,,,,,,,
2017-08-31,미성엠프로 주식회사,"16,104,000","14,640,000","1,464,000",일용비(서울삼성병원),09월 15일,,,,,,,,,,,,
2017-08-31,미성엠프로 주식회사,"4,048,000","3,680,000","368,000",일용비(강북삼성병원),09월 15일,,,,,,,,,,,,
2017-08-31,미성엠프로 주식회사,"1,815,000","1,650,000","165,000",일용비(분당서울대병원),09월 15일,,8월,,,,,,,,,,
2017-08-31,미성엠프로 주식회사,"1,573,000","1,430,000","143,000",일용비(한진빌딩),09월 15일,,합계,공급,세액,,,,,,,,
2017-08-31,(주)한성앰에스,"7,206,430","6,551,300","655,130",일용비(머큐어호텔),09월 06일,,"68,960,430 ","62,691,300 ","6,269,130 ",,,,,,,,
2017-09-04,(주)한성앰에스,"616,000","560,000","56,000",일용비(센터마크호텔),09월 06일,,,,,,,,,,,,
2017-09-04,(주)한성앰에스,"1,034,000","940,000","94,000",일용비(코트야드호텔),09월 06일,,,,,,,,,,,,
2017-09-04,(주)한성앰에스,"3,201,000","2,910,000","291,000",일용비(티마크호텔),09월 06일,,,,,,,,,,,,
2017-09-04,(주)한성앰에스,"704,000","640,000","64,000",일용비(JW메리어트호텔),09월 07일,,,,,,,,,,,,
2017-09-04,(주)한성앰에스,"1,848,000","1,680,000","168,000",일용비(머큐어호텔),09월 06일,,,,,,,,,,,,
2017-09-05,(주)씨엔에스자산관리,"-1,980,000","-1,800,000","-180,000",9/02~9/03,취소전표,,,,,,,,,,,,
2017-09-05,(주)씨엔에스자산관리,"1,980,000","1,800,000","180,000",9/02~9/03,취소전표,,,,,,,,,,,,
2017-09-06,미성엠프로 주식회사,"-2,893,000","-2,630,000","-263,000",일용비(예술의전당),취소전표,,,,,,,,,,,,
2017-09-11,(주)한성앰에스,"880,000","800,000","80,000",일용비(머큐어호텔),09월 13일,,,,,,,,,,,,
2017-09-12,(주)한성앰에스,"792,000","720,000","72,000",일용비(코트야드호텔),09월 12일,,,,,,,,,,,,
2017-09-12,(주)한성앰에스,"1,760,000","1,600,000","160,000",일용비(티마크호텔),09월 12일,,,,,,,,,,,,
2017-09-12,(주)한성앰에스,"528,000","480,000","48,000",일용비(JW메리어트호텔),09월 15일,,,,,,,,,,,,
2017-09-12,(주)알앤지서비스,"1,639,000","1,490,000","149,000",9/06~9/10,09월 13일,,,,,,,,,,,,
2017-09-15,(주)씨엔에스자산관리,"3,300,000","3,000,000","300,000",9/2~9/10,09월 27일,,,,,,,,,,,,
