,,합계금액,공급가액,세액,,,,,
,휴먼합계,"6,621,938,908","6,020,722,571","601,216,337",,,,,
매입계산서,,,,,,,,,
주식회사 휴먼엠에스,,,,,,,,,
작성일자,상호,합계금액,공급가액,세액,품목비고,,,,
2025-10-31,주식회사 피앤케이네트웍스,"11,738,210","10,671,100","1,067,110",판교아이스퀘어 25년10월 주차용역비청구,,,,
2025-11-01,성주이씨판윤공종회（가든타워 지점）,"660,000","600,000","60,000",임대료,,,,
2025-11-03,SK브로드밴드(주),"8,800","8,000",800,통신요금 UKEY-652641478409,,,,
2025-11-03,SK브로드밴드(주),"11,257","10,234","1,023",통신요금 UKEY-652642987209,,,,
2025-11-04,㈜엘지유플러스,"99,000","90,000","9,000",2025년 11월 서비스 이용료 매출,,,,
2025-11-05,주식회사 케이티,"11,000","10,000","1,000",IoT안심결제 110 (01255570455),,,,
2025-11-05,주식회사 케이티,"66,000","60,000","6,000",IoT안심결제 110 (01255040286),,,,
2025-11-06,성주이씨판윤공종회（가든타워 지점）,"660,000","600,000","60,000",임대료,,,,
2025-11-09,조은커뮤니케이션,"38,500","35,000","3,500",프린터임대료,,,,
2025-11-10,주식회사 모닝상사,"99,550","90,500","9,050",▶휴먼엠에스,,,,
2025-11-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2025-11-15,비엔케이캐피탈(주),"437,200","397,455","39,745",장기차량렌탈↕Long-Term Vehicle [163호4224],,,,
2025-11-15,(주)아마존카,"507,100","461,000","46,100",22회차 대여료,,,,
2025-11-17,주식회사금강주택관리,"138,000","125,455","12,545",2025-10월관리비,,,,
11/19/2025,주식회사 좋은생각,"770,000","700,000","70,000",센트레힐스위트 807호 임대료,,,,
2025-11-20,주식회사 모닝상사,"3,850","3,500",350,▶휴먼엠에스,,,,
2025-11-25,세무법인명성(홍익지점),"275,000","250,000","25,000",기장수수료,,,,
2025-11-25,나이스인프라 주식회사,"440,000","400,000","40,000",위탁용역료,,,,
2025-11-25,의료법인 영문의료재단 다보스병원,"1,650,000","1,500,000","150,000",11월 주차장 임대료,12월 10일,,,
2025-11-26,주식회사 모닝상사,"48,400","44,000","4,400",▶휴먼엠에스,,,,
2025-11-27,샘물판매,"21,450","19,500","1,950",생수,,,,
2025-11-30,제이비 주식회사,"50,492","45,902","4,590",도시가스요금,,,,
2025-11-30,제이비 주식회사,"40,388","36,717","3,671",도시가스요금,,,,
2025-11-30,제이비 주식회사,"54,982","49,984","4,998",도시가스요금,,,,
2025-11-30,제이비 주식회사,"40,388","36,717","3,671",도시가스요금,,,,
2025-11-30,제이비 주식회사,"53,859","48,963","4,896",도시가스요금,,,,
2025-11-30,제이비 주식회사,"6,712","6,102",610,도시가스요금,,,,
2025-11-30,의료법인 영문의료재단 다보스병원,"774,000","703,637","70,363",11월 주차관리원 식대,12월 05일,,,
2025-11-30,주식회사 피앤케이네트웍스,"10,640,300","9,673,000","967,300",판교아이스퀘어 25년11월 주차용역비청구,,,,
2025-12-03,SK브로드밴드(주),"8,800","8,000",800,통신요금 UKEY-652641478409,,,,
2025-12-03,SK브로드밴드(주),"11,640","10,582","1,058",통신요금 UKEY-652642987209,,,,
2025-12-04,㈜엘지유플러스,"99,000","90,000","9,000",2025년 12월 서비스 이용료 매출,,,,
2025-12-05,주식회사 케이티,"66,000","60,000","6,000",IoT안심결제 110 (01255040286),,,,
2025-12-05,주식회사 케이티,"11,000","10,000","1,000",IoT안심결제 110 (01255570455),,,,
2025-12-06,성주이씨판윤공종회（가든타워 지점）,"660,000","600,000","60,000",임대료,,,,
2025-12-09,조은커뮤니케이션,"38,500","35,000","3,500",프린터임대료,,,,
2025-12-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2025-12-15,비엔케이캐피탈(주),"437,200","397,455","39,745",장기차량렌탈↕Long-Term Vehicle [163호4224],,,,
2025-12-15,(주)아마존카,"507,100","461,000","46,100",23회차 대여료,,,,
2025-12-16,주식회사금강주택관리,"135,450","123,136","12,314",2025-11월관리비,,,,
2025-12-17,태디(주),"330,000","300,000","30,000",철재배너 (거치대+인쇄물),,,,
2025-12-18,잡코리아 유한책임회사,"10,100,000","9,181,818","918,182",[알바몬] 계약매출,,,,
2025-12-19,주식회사 좋은생각,"770,000","700,000","70,000",센트레힐스위트 807호 임대료,,,,
2025-12-25,세무법인명성(홍익지점),"275,000","250,000","25,000",기장수수료,,,,
2025-12-25,나이스인프라 주식회사,"440,000","400,000","40,000",위탁용역료,,,,
2025-12-25,의료법인 영문의료재단 다보스병원,"1,650,000","1,500,000","150,000",12월 주차장 임대료,,,,
2025-12-30,샘물판매,"28,600","26,000","2,600",생수,,,,
2025-12-31,제이비 주식회사,"65,833","59,849","5,984",도시가스요금,,,,
2025-12-31,제이비 주식회사,"52,440","47,673","4,767",도시가스요금,,,,
2025-12-31,제이비 주식회사,"124,987","113,625","11,362",도시가스요금,,,,
2025-12-31,제이비 주식회사,"121,639","110,581","11,058",도시가스요금,,,,
2025-12-31,제이비 주식회사,"87,039","79,127","7,912",도시가스요금,,,,
2025-12-31,제이비 주식회사,"5,563","5,058",505,도시가스요금,,,,
2025-12-31,의료법인 영문의료재단 다보스병원,"678,000","616,364","61,636",12월 주차관리원 식대,2025년,,,
2025-12-31,주식회사 피앤케이네트웍스,"14,967,561","13,606,874","1,360,687",판교아이스퀘어 25년12월 주차용역비청구,합계금액,공급가액,세액,
,,,,,,"1,706,070,976","1,550,973,653","155,097,323",
