,,합계금액,공급가액,세액,,,,,
,휴먼합계,"6,621,938,908","6,020,722,571","601,216,337",,,,,
매입계산서,,,,,,,,,
주식회사 휴먼엠에스,,,,,,,,,
작성일자,상호,합계금액,공급가액,세액,품목비고,,,,
2026-01-03,SK브로드밴드(주),"8,800","8,000",800,통신요금 UKEY-652641478409,,,,
2026-01-03,SK브로드밴드(주),"11,326","10,297","1,029",통신요금 UKEY-652642987209,,,,
2026-01-04,㈜엘지유플러스,"99,000","90,000","9,000",2026년 01월 서비스 이용료 매출,,,,
2026-01-05,주식회사 우림,"7,353,918","6,685,380","668,538",일산 소노캄 인력관리비,01월 09일,,,
2026-01-05,주식회사 우림,"48,462,700","44,057,000","4,405,700",천안 소노벨 인력관리비,01월 09일,,,
2026-01-05,주식회사 케이티,"66,000","60,000","6,000",IoT안심결제 110 (01255040286),,,,
2026-01-05,주식회사 케이티,"11,000","10,000","1,000",IoT안심결제 110 (01255570455),,,,
2026-01-09,조은커뮤니케이션,"38,500","35,000","3,500",프린터임대료,,,,
2026-01-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2026-01-15,비엔케이캐피탈(주),"437,200","397,455","39,745",장기차량렌탈↕Long-Term Vehicle [163호4224],,,,
2026-01-15,(주)아마존카,"507,100","461,000","46,100",24회차 대여료,,,,
2026-01-19,주식회사금강주택관리,"129,630","117,845","11,785",2025-12월관리비,,,,
2026-01-25,나이스인프라 주식회사,"440,000","400,000","40,000",위탁용역료,,,,
2026-01-25,의료법인 영문의료재단 다보스병원,"1,650,000","1,500,000","150,000",01월 주차장 임대료,,,,
2026-01-25,세무법인명성(홍익지점),"275,000","250,000","25,000",기장수수료,,,,
2026-01-26,주식회사 우림,"34,214,400","31,104,000","3,110,400",소노벨 1월 12일,"두건합쳐서 1/26 우리에서 4000만원, 기업에서 잔금28,483,800원 이체",,,
2026-01-26,주식회사 우림,"34,269,400","31,154,000","3,115,400",소노벨 1월5일,"두건합쳐서 1/26 우리에서 4000만원, 기업에서 잔금28,483,800원 이체",,,
2026-01-26,주식회사 우림,"3,578,102","3,252,820","325,282",소노캄 고양_1월12일~8일,01월 26일,,,
2026-01-27,샘물판매,"21,450","19,500","1,950",생수,,,,
2026-01-30,주식회사 우림,"4,294,290","3,903,900","390,390",소노캄 1월 26일,02월 04일,,,
2026-01-30,주식회사 우림,"36,357,200","33,052,000","3,305,200",소노벨 1월 26일,01월 30일,,,
2026-01-31,주식회사 우림,"9,747,612","8,861,466","886,146",소노캄 인력관리비,02월 10일,,,
2026-01-31,주식회사 우림,"31,147,600","28,316,000","2,831,600",천안 소노벨 인력관리비,02월 06일,,,
2026-01-31,제이비 주식회사,"82,610","75,100","7,510",도시가스요금,,,,
2026-01-31,제이비 주식회사,"62,511","56,829","5,682",도시가스요금,,,,
2026-01-31,제이비 주식회사,"151,838","138,035","13,803",도시가스요금,,,,
2026-01-31,제이비 주식회사,"184,219","167,472","16,747",도시가스요금,,,,
2026-01-31,제이비 주식회사,"10,032","9,120",912,도시가스요금,,,,
2026-01-31,제이비 주식회사,"5,566","5,060",506,도시가스요금,,,,
2026-01-31,의료법인 영문의료재단 다보스병원,"432,000","392,728","39,272",2026년 01월 주차관리원 식대,,,,
2026-02-02,법무사 양근형 사무소,"220,000","200,000","20,000",수수료,,,,
2026-02-03,SK브로드밴드(주),"8,800","8,000",800,통신요금 UKEY-652641478409,,,,
2026-02-03,SK브로드밴드(주),"11,332","10,302","1,030",통신요금 UKEY-652642987209,,,,
2/4/2026,㈜엘지유플러스,"99,000","90,000","9,000",2026년 02월 서비스 이용료 매출,,,,
2026-02-05,주식회사 케이티,"11,000","10,000","1,000",IoT안심결제 110 (01255570455),,,,
2026-02-05,주식회사 케이티,"66,000","60,000","6,000",IoT안심결제 110 (01255040286),,,,
2026-02-09,조은커뮤니케이션,"38,500","35,000","3,500",프린터임대료,,,,
2026-02-09,주식회사 우림,"14,053,424","12,775,840","1,277,584",소노캄 인력관리비,02월 13일,,,
2026-02-09,주식회사 우림,"36,242,250","32,947,500","3,294,750",소노벨 인력관리비,02월 13일,,,
2026-02-11,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2026-02-15,비엔케이캐피탈(주),"437,200","397,455","39,745",장기차량렌탈↕Long-Term Vehicle [163호4224],,,,
2026-02-15,(주)아마존카,"507,100","461,000","46,100",25회차 대여료,,,,
2026-02-16,주식회사 우림,"29,642,140","26,947,400","2,694,740",천안 소노벨 인력관리비,02월 23일,,,
2026-02-16,주식회사 우림,"7,653,140","6,957,400","695,740",소노캄 인력관리비,02월 23일,,,
2026-02-19,주식회사 스마트피엔지,"1,375,658","1,250,598","125,060",장비대금,,,,
2026-02-20,주식회사금강주택관리,"75,580","68,709","6,871",2026-1월관리비,,,,
2026-02-23,주식회사 우림,"14,790,050","13,445,500","1,344,550",소노캄 인력관리비,03월 04일,,,
2026-02-23,주식회사 우림,"57,895,200","52,632,000","5,263,200",천안 소노벨 인력관리비,03월 13일,,,
2026-02-24,샘물판매,"21,450","19,500","1,950",생수,,,,
2026-02-24,태디(주),"170,500","155,000","15,500",철재배너 (거치대+인쇄물),,,,
2026-02-25,세무법인명성(홍익지점),"275,000","250,000","25,000",기장수수료,,,,
2026-02-25,나이스인프라 주식회사,"440,000","400,000","40,000",위탁용역료,,,,
2026-02-25,의료법인 영문의료재단 다보스병원,"1,650,000","1,500,000","150,000",02월 주차장 임대료,,,,
2026-02-28,제이비 주식회사,"59,451","54,047","5,404",도시가스요금,,,,
2026-02-28,제이비 주식회사,"67,306","61,188","6,118",도시가스요금,,,,
2026-02-28,제이비 주식회사,"1,100","1,000",100,도시가스요금,,,,
2026-02-28,제이비 주식회사,"185,134","168,304","16,830",도시가스요금,,,,
2026-02-28,제이비 주식회사,"12,321","11,201","1,120",도시가스요금,,,,
2026-02-28,제이비 주식회사,"6,710","6,100",610,도시가스요금,,,,
2026-02-28,나이스인프라 주식회사,"29,700,000","27,000,000","2,700,000",나이스파크주차장비세트,,,,
2026-02-28,주식회사 우림,"7,041,936","6,401,760","640,176",소노캄 인력관리비,"3/11 500이체, 3/13 잔액 2,041,936 입금완료",,,
2026-02-28,주식회사 우림,"42,332,730","38,484,300","3,848,430",천안 소노벨 인력관리비,03월 13일,,,
2026-02-28,의료법인 영문의료재단 다보스병원,"312,000","283,636","28,364",02월 주차관리원 식대,,,,
2026-03-04,참컨설팅,"2,640,000","2,400,000","240,000",진로제시컨설팅,,,,
2026-03-09,조은커뮤니케이션,"38,500","35,000","3,500",프린터임대료,,,,
2026-03-09,주식회사 우림,"21,143,100","19,221,000","1,922,100",천안 소노벨 인력관리비,03월 13일,,,
2026-03-09,주식회사 우림,"8,085,660","7,350,600","735,060",소노캄 인력관리비,03월 13일,,,
3/11/2026,조은커뮤니케이션,"27,500","25,000","2,500",프린터임대료,,,,
2026-03-12,성주이씨판윤공종회（가든타워 지점）,"660,000","600,000","60,000",1월 임대료,,,,
2026-03-12,성주이씨판윤공종회（가든타워 지점）,"660,000","600,000","60,000",2월 임대료,,,,
2026-03-15,비엔케이캐피탈(주),"437,200","397,455","39,745",장기차량렌탈↕Long-Term Vehicle [163호4224],,,,
2026-03-15,(주)아마존카,"507,100","461,000","46,100",26회차 대여료,,,,
2026-03-16,주식회사 우림,"5,550,380","5,045,800","504,580",소노캄 인력관리비,03월 25일,,,
3/25/2026,의료법인 영문의료재단 다보스병원,"1,650,000","1,500,000","150,000",03월 주차장 임대료,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
